surface,glacier
1271.10840,1291.85901
1271.22900,1293.76990
1271.22900,1295.74341
1271.50940,1297.36658
1271.63354,1300.94629
1271.63354,1303.62732
1271.74939,1306.10144
1272.36255,1308.02356
1272.36255,1309.86182
1271.96606,1310.76416
1271.88879,1312.92151
1271.88879,1315.87585
1273.50623,1315.70105
1273.26392,1316.91406
1273.26392,1317.55872
1273.77100,1318.20728
1274.52954,1318.77234
1274.52954,1319.40942
1275.11841,1319.94287
1277.01233,1321.64478
1277.01233,1322.64551
1279.02478,1323.78992
1280.39087,1324.97876
1280.39087,1325.68896
1282.39026,1326.86389
1286.54907,1327.65222
1286.54907,1329.63599
1288.79333,1330.98767
1291.56079,1332.04968
1291.56079,1333.43103
1294.02417,1334.25024
1296.78430,1336.07019
1298.81958,1338.18042
1301.18896,1339.31323
1303.21362,1340.90808
1303.21362,1342.04968
1306.64209,1343.20544
1310.42493,1344.78259
1310.42493,1346.41370
1313.94446,1347.90454
1316.83838,1349.23706
1316.83838,1350.63013
1318.01343,1351.52466
1319.18958,1352.19177
1319.18958,1354.29272
1320.66443,1356.24207
1321.57739,1357.38379
1321.57739,1358.55591
1323.36633,1359.74280
1324.73792,1359.49866
1324.73792,1361.19788
1326.20251,1362.84766
1328.31580,1364.43042
1330.02234,1365.44922
1332.09058,1366.56445
1331.97485,1367.54065
1331.97485,1368.54175
1333.30566,1369.57239
1333.30566,1370.64233
1332.97168,1372.03296
1334.07996,1373.04236
1334.07996,1374.09338
1334.38403,1375.07288
1334.74805,1375.89111
1334.74805,1376.87744
1336.59033,1377.98706
1338.10742,1379.55530
1338.10742,1380.69885
1339.61719,1381.83215
1341.00330,1382.79993
1341.00330,1383.71655
1342.93811,1384.53882
1344.88953,1385.46802
1344.88953,1386.51392
1346.09131,1387.53442
1346.77649,1388.46216
1346.77649,1389.34717
1348.83997,1390.04773
1350.42029,1390.94775
1350.42029,1392.05957
1351.95056,1392.67554
1353.51294,1393.71448
1353.51294,1394.39026
1354.81421,1395.11914
1357.94739,1395.82129
1357.94739,1396.50391
1359.65491,1397.28687
1361.36230,1398.30127
1361.36230,1398.98743
1363.75146,1399.64832
1366.38464,1400.09155
1366.38464,1401.22424
1368.63318,1401.74133
1370.14807,1402.74976
1372.86145,1403.62024
1373.73633,1404.44666
1376.01477,1405.15527
1376.01477,1405.75879
1378.02576,1406.21179
1380.14136,1406.72583
1380.14136,1407.51794
1381.42310,1408.45215
1382.02222,1408.98523
1382.02222,1409.12500
1383.04883,1409.14429
1383.60876,1410.24402
1383.60876,1410.23352
1384.05188,1410.47144
1384.63623,1412.48132
1384.63623,1413.34216
1385.34204,1414.18433
1387.08496,1415.38892
1387.08496,1416.65051
1389.01111,1418.38074
1394.44739,1420.56824
1397.59583,1422.16675
1399.66223,1423.87573
1399.66223,1426.13159
1403.60730,1428.33240
1409.32703,1430.62695
1409.32703,1433.78833
1415.05664,1437.25500
1422.96484,1440.67761
1422.96484,1444.13062
1431.08264,1448.29822
1439.97388,1452.53955
1439.97388,1456.41541
1448.01001,1460.48254
1455.39661,1464.77966
1455.39661,1468.92786
1461.35815,1473.45483
1474.41113,1477.61487
1474.41113,1481.89453
1484.49304,1486.92590
1493.29443,1491.96008
1495.55054,1497.13281
1504.07971,1502.49353
1517.60864,1507.28735
1517.60864,1515.23474
1532.19751,1523.00000
